Date	Open*	High	Low	Close**	Volume	Market Cap
Nov 13, 2017	0.186746	0.204933	0.186746	0.196850	2,135,670	93,372,896
Nov 12, 2017	0.194834	0.197385	0.168475	0.187900	2,260,040	97,417,016
Nov 11, 2017	0.196349	0.209121	0.195025	0.197162	1,488,260	98,174,600
Nov 10, 2017	0.231424	0.237526	0.193163	0.197220	2,364,530	115,711,832
Nov 09, 2017	0.219282	0.245119	0.215189	0.230550	2,661,470	109,641,200
Nov 08, 2017	0.200817	0.223977	0.198922	0.219013	2,697,240	100,408,576
Nov 07, 2017	0.178558	0.201355	0.177527	0.201199	1,935,910	89,279,200
Nov 06, 2017	0.175859	0.185481	0.173446	0.178884	1,117,140	87,929,344
Nov 05, 2017	0.182665	0.184954	0.173586	0.175023	961,217	91,332,320
Nov 04, 2017	0.179251	0.191508	0.175724	0.182987	1,422,630	89,625,632
Nov 03, 2017	0.170725	0.180066	0.170431	0.179373	1,810,580	85,362,416
Nov 02, 2017	0.169789	0.176416	0.160630	0.170806	2,259,920	84,894,632
Nov 01, 2017	0.173446	0.203756	0.171028	0.171246	3,460,160	86,723,176
Oct 31, 2017	0.188070	0.189369	0.173305	0.173305	1,317,130	94,034,976
Oct 30, 2017	0.193379	0.198503	0.185860	0.188216	1,000,210	96,689,280
Oct 29, 2017	0.193542	0.205900	0.189026	0.194289	1,779,990	96,770,896
Oct 28, 2017	0.192093	0.194363	0.187442	0.193665	704,645	96,046,488
Oct 27, 2017	0.196695	0.197809	0.188305	0.191698	996,475	98,347,304
Oct 26, 2017	0.198365	0.205707	0.193073	0.196484	1,120,820	99,182,488
Oct 25, 2017	0.202629	0.205015	0.193516	0.198329	1,304,420	101,314,488
Oct 24, 2017	0.191174	0.210543	0.187828	0.202004	2,032,440	95,586,976
Oct 23, 2017	0.204455	0.205632	0.187501	0.190887	1,335,730	102,227,376
Oct 22, 2017	0.203787	0.205872	0.198511	0.204589	1,191,490	101,893,336
Oct 21, 2017	0.211135	0.214693	0.197011	0.203438	1,422,100	105,567,440
Oct 20, 2017	0.225801	0.230144	0.211546	0.211546	2,541,670	112,900,656
Oct 19, 2017	0.219781	0.230184	0.214467	0.225670	2,571,520	109,890,432
Oct 18, 2017	0.219823	0.227802	0.195858	0.219384	2,958,100	109,911,328
Oct 17, 2017	0.201077	0.227835	0.191122	0.221232	3,121,300	100,538,552
Oct 16, 2017	0.197919	0.203066	0.187616	0.200841	1,811,900	98,959,600
Oct 15, 2017	0.197475	0.203444	0.183708	0.197635	1,902,990	98,737,560
Oct 14, 2017	0.199530	0.199530	0.189894	0.196873	1,475,560	99,764,760
Oct 13, 2017	0.186600	0.207583	0.179417	0.199728	3,289,010	93,299,928
Oct 12, 2017	0.202617	0.204898	0.184107	0.185752	2,430,370	101,308,744
Oct 11, 2017	0.198060	0.206022	0.196157	0.202379	1,387,800	99,029,896
Oct 10, 2017	0.185069	0.210924	0.184017	0.197963	2,236,690	92,534,248
Oct 09, 2017	0.185723	0.190627	0.176277	0.186208	2,011,230	92,861,368
Oct 08, 2017	0.188466	0.204626	0.184504	0.184632	2,114,590	94,232,752
Oct 07, 2017	0.200026	0.207999	0.186730	0.187759	1,452,270	100,012,832
Oct 06, 2017	0.179189	0.202662	0.178888	0.199481	1,405,650	89,594,264
Oct 05, 2017	0.184488	0.187409	0.178462	0.179249	1,225,480	92,243,776
Oct 04, 2017	0.195314	0.203317	0.183541	0.184051	1,186,820	97,657,224
Oct 03, 2017	0.202575	0.204779	0.186048	0.194812	1,387,310	101,287,456
Oct 02, 2017	0.213754	0.216893	0.201089	0.201903	1,622,300	106,877,000
Oct 01, 2017	0.218009	0.218806	0.208943	0.215140	1,439,060	109,004,480
Sep 30, 2017	0.210802	0.222151	0.210249	0.217415	1,214,660	105,400,808
Sep 29, 2017	0.216631	0.218619	0.202766	0.210520	1,278,350	108,315,328
Sep 28, 2017	0.231448	0.238562	0.215112	0.216788	1,822,680	115,723,896
Sep 27, 2017	0.195748	0.233405	0.195049	0.232705	2,398,430	97,873,800
Sep 26, 2017	0.195085	0.199860	0.189107	0.196489	1,508,980	97,542,384
Sep 25, 2017	0.177336	0.200598	0.174887	0.194848	1,820,160	88,667,912
Sep 24, 2017	0.187838	0.190817	0.175413	0.177380	1,091,020	93,919,088
Sep 23, 2017	0.182643	0.190476	0.180347	0.187938	931,322	91,321,376
Sep 22, 2017	0.176962	0.187321	0.171743	0.183742	1,561,690	88,481,016
Sep 21, 2017	0.200290	0.206032	0.175413	0.178186	1,657,700	100,144,800
Sep 20, 2017	0.203443	0.210435	0.199088	0.201347	1,849,880	101,721,640
Sep 19, 2017	0.231063	0.231530	0.203297	0.204615	2,320,980	115,531,472
Sep 18, 2017	0.208220	0.238528	0.208165	0.230369	1,865,790	104,109,984
Sep 17, 2017	0.209860	0.215940	0.191466	0.207021	986,802	104,930,056
Sep 16, 2017	0.208816	0.213989	0.195698	0.209666	1,383,050	104,407,768
Sep 15, 2017	0.176447	0.216716	0.156424	0.205293	3,595,670	88,223,536
Sep 14, 2017	0.223408	0.228707	0.175010	0.175010	3,056,000	111,703,896
Sep 13, 2017	0.257031	0.257911	0.212135	0.223347	3,405,890	128,515,720
Sep 12, 2017	0.275405	0.289507	0.251309	0.255598	3,791,170	137,702,592
Sep 11, 2017	0.246839	0.275266	0.236536	0.275226	4,856,890	123,419,480
Sep 10, 2017	0.258124	0.258124	0.231890	0.246550	2,159,810	129,061,832
Sep 09, 2017	0.258422	0.259154	0.240122	0.257112	1,972,250	129,211,200
Sep 08, 2017	0.309705	0.313270	0.237483	0.259444	5,590,490	154,852,272
Sep 07, 2017	0.256450	0.331923	0.254505	0.308967	8,513,980	128,225,144
Sep 06, 2017	0.236535	0.258303	0.235836	0.254545	3,987,820	118,267,288
Sep 05, 2017	0.236484	0.247325	0.203388	0.240646	5,406,050	118,242,032
Sep 04, 2017	0.285917	0.286994	0.210171	0.237356	10,708,700	142,958,512
Sep 03, 2017	0.307518	0.328170	0.283449	0.287915	4,038,540	153,759,152
Sep 02, 2017	0.384540	0.391341	0.303908	0.305877	6,092,920	192,270,032
Sep 01, 2017	0.372777	0.402174	0.361104	0.385751	9,229,510	186,388,448
Aug 31, 2017	0.330970	0.374500	0.323976	0.369852	6,919,520	165,485,184
Aug 30, 2017	0.361106	0.364266	0.330510	0.331930	5,733,410	180,553,184
Aug 29, 2017	0.341101	0.372469	0.341101	0.359571	6,321,130	170,550,448
Aug 28, 2017	0.352459	0.354823	0.323620	0.343713	6,639,910	176,229,648
