Date	Open*	High	Low	Close**	Volume	Market Cap
Jan 19, 2018	36.97	41.46	36.19	39.19	594,884,992	2,728,689,152
Jan 18, 2018	36.05	39.91	34.23	37.37	731,388,992	2,661,038,848
Jan 17, 2018	35.54	37.99	27.63	36.47	1,005,590,016	2,623,561,984
Jan 16, 2018	52.23	52.23	28.97	36.03	976,913,024	3,855,433,216
Jan 15, 2018	54.07	58.28	52.18	52.58	1,558,480,000	3,990,876,928
Jan 14, 2018	54.83	55.07	48.35	54.08	758,721,984	4,046,683,904
Jan 13, 2018	50.45	56.27	50.37	54.70	881,216,000	3,723,665,152
Jan 12, 2018	46.01	51.92	44.42	50.41	764,812,032	3,395,809,280
Jan 11, 2018	53.65	53.83	43.68	45.75	732,454,016	3,959,306,240
Jan 10, 2018	53.42	56.36	49.90	54.08	853,001,024	3,942,310,400
Jan 09, 2018	55.78	58.38	52.09	53.21	837,430,976	4,116,558,592
Jan 08, 2018	86.17	89.11	49.96	55.98	1,023,569,984	6,358,226,944
Jan 07, 2018	94.07	106.88	83.57	85.77	1,707,139,968	6,940,934,144
Jan 06, 2018	62.95	105.41	59.95	94.67	1,998,569,984	4,644,756,480
Jan 05, 2018	57.39	70.89	54.79	62.70	1,356,739,968	4,234,743,040
Jan 04, 2018	59.06	61.48	55.95	57.47	744,457,024	4,357,856,256
Jan 03, 2018	60.54	61.01	57.29	59.09	673,649,984	4,466,388,992
Jan 02, 2018	61.19	62.46	59.75	60.72	597,468,032	4,514,722,816
Jan 01, 2018	62.31	64.08	59.87	60.88	708,817,984	4,597,211,648
Dec 31, 2017	60.20	65.01	59.20	62.40	690,937,984	4,441,125,376
Dec 30, 2017	58.68	67.69	54.36	60.49	1,203,779,968	4,329,058,816
Dec 29, 2017	56.35	60.47	53.33	58.71	876,084,992	4,156,560,128
Dec 28, 2017	54.44	56.64	46.41	56.23	838,697,984	4,015,527,936
Dec 27, 2017	55.76	56.39	52.72	54.11	539,542,016	4,113,284,864
Dec 26, 2017	58.22	59.99	55.42	55.95	652,553,984	4,294,183,168
Dec 25, 2017	54.00	59.79	51.23	58.09	976,115,008	3,982,897,152
Dec 24, 2017	56.71	57.37	49.00	53.64	692,470,016	4,182,734,848
Dec 23, 2017	50.84	60.20	50.71	57.26	913,924,992	3,749,713,920
